account,caption,datetime,day,followers,following,hashtags,isvideo,link,mentions,no_posts,target_lv,timeofday
danbilzerian,Vacation ? @brendononeal Song:@dirtyheads,2017-09-07T18:59:25.000Z,Thursday,22700000,150,0,True,https://www.instagram.com/p/BYwC_mGHfkh/?taken-by=danbilzerian,2,1217,3206656,evening
danbilzerian,??,2017-09-03T03:06:16.000Z,Sunday,22700000,150,0,False,https://www.instagram.com/p/BYkCvH_HBSl/?taken-by=danbilzerian,0,1217,393474,night
danbilzerian,Congrats champ #MoneyMakesMoney #YouDidHaveMeSweatingThough,2017-08-27T07:01:57.000Z,Sunday,22700000,150,2,False,https://www.instagram.com/p/BYScJKnlYwr/?taken-by=danbilzerian,0,1217,912427,morning
danbilzerian,"Vegas for the fight, who you guys betting on? ? @brendononeal",2017-08-25T21:14:53.000Z,Friday,22700000,150,0,False,https://www.instagram.com/p/BYO0KcIFaEv/?taken-by=danbilzerian,1,1217,367386,night
danbilzerian,Exploring the island,2017-08-24T04:03:20.000Z,Thursday,22700000,150,0,False,https://www.instagram.com/p/BYKZUPqFndO/?taken-by=danbilzerian,0,1217,412291,night
danbilzerian,Amazing day exploring some hidden beaches and caves ? @davidlesh & @brendononeal,2017-08-23T11:30:34.000Z,Wednesday,22700000,150,0,False,https://www.instagram.com/p/BYIntFSFmun/?taken-by=danbilzerian,2,1217,256375,midday
danbilzerian,She's surfing,2017-08-22T09:40:19.000Z,Tuesday,22700000,150,0,False,https://www.instagram.com/p/BYF2SoqlCUb/?taken-by=danbilzerian,0,1217,476523,morning
danbilzerian,?? Swipe Left ? ?: @brendononeal,2017-08-21T08:01:54.000Z,Monday,22700000,150,0,False,https://www.instagram.com/p/BYDGO9wFfIo/?taken-by=danbilzerian,1,1217,355661,morning
danbilzerian,Really don't wanna leave Hawaii,2017-08-20T07:07:25.000Z,Sunday,22700000,150,0,False,https://www.instagram.com/p/BYAbNDwlWYV/?taken-by=danbilzerian,0,1217,452120,morning
danbilzerian,"Amazing spot, now Hawaii for a week",2017-08-18T22:14:56.000Z,Friday,22700000,150,0,False,https://www.instagram.com/p/BX85eJ6Fpov/?taken-by=danbilzerian,0,1217,306774,night
danbilzerian,?,2017-08-16T20:47:19.000Z,Wednesday,22700000,150,0,False,https://www.instagram.com/p/BX3l2utFBt7/?taken-by=danbilzerian,0,1217,440008,night
danbilzerian,Look kinda like wolverine,2017-08-16T08:48:18.000Z,Wednesday,22700000,150,0,False,https://www.instagram.com/p/BX2TkeUlKIw/?taken-by=danbilzerian,0,1217,386853,morning
zachking,Don't you hate when you are late for school? ?? #goodmorning #magic,2017-09-05T14:14:22.000Z,Tuesday,20100000,23,2,True,https://www.instagram.com/p/BYqYyIhl7nI/?taken-by=zachking,0,787,3530267,midday
zachking,Apologies for the power outages today. You may experience loss of light for 2-3 minutes. #eclipse #monday,2017-08-21T12:25:29.000Z,Monday,20100000,23,2,True,https://www.instagram.com/p/BYDkZgwlQsP/?taken-by=zachking,0,787,4018017,midday
zachking,What do you usually eat for #breakfast ? #monday #cereal #food,2017-08-06T14:44:26.000Z,Sunday,20100000,23,4,True,https://www.instagram.com/p/BXdMYGYls-k/?taken-by=zachking,0,787,4389714,midday
